ID,Name,CityName,OblName,Center,PostCode,NalSumLimit
804,"Волчиха, Алтайский край",Волчиха,Алтайский край,,658930,1.00
792,"Гальбштадт, Алтайский край",Гальбштадт,Алтайский край,,658870,1.00
783,"Горняк, Алтайский край",Горняк,Алтайский край,,658420,1.00
"2,335","Ельцовка, Алтайский край",Ельцовка,Алтайский край,,658157,1.00
801,"Завьялово, Алтайский край",Завьялово,Алтайский край,,658620,1.00
"1,858","Залесово, Алтайский край",Залесово,Алтайский край,,,1.00
98,"Заринск, Алтайский край",Заринск,Алтайский край,,659100,1.00
784,"Змеиногорск, Алтайский край",Змеиногорск,Алтайский край,,658480,1.00
787,"Зональное, Алтайский край",Зональное,Алтайский край,,659400,1.00
701,"Калманка, Алтайский край",Калманка,Алтайский край,,659040,1.00
786,"Камень-на-Оби, Алтайский край",Камень-на-Оби,Алтайский край,,658700,1.00
815,"Ключи, Алтайский край",Ключи,Алтайский край,,644516.65898,1.00
"1,861","Косиха, Алтайский край",Косиха,Алтайский край,,659820,1.00
791,"Красногорское, Алтайский край",Красногорское,Алтайский край,,659500,1.00
812,"Краснощеково, Алтайский край",Краснощеково,Алтайский край,,658340,1.00
"1,857","Крутиха, Алтайский край",Крутиха,Алтайский край,,658750,1.00
805,"Кулунда, Алтайский край",Кулунда,Алтайский край,,658920,1.00
813,"Курья, Алтайский край",Курья,Алтайский край,,658320,1.00
816,"Кытманово, Алтайский край",Кытманово,Алтайский край,,659240,1.00
"1,271","Мало-Енисейское, Алтайский край",Мало-Енисейское,Алтайский край,,659370,1.00
782,"Мамонтово, Алтайский край",Мамонтово,Алтайский край,,658560,1.00
"1,147","Михайловское, Алтайский край",Михайловское,Алтайский край,,658960,1.00
796,"Новичиха, Алтайский край",Новичиха,Алтайский край,,659730,1.00
788,"Новоалтайск, Алтайский край",Новоалтайск,Алтайский край,,"658080,658081,658082,658083,658084,658085,658087,658089,658090,658091,658095,658099",без ограничений
"1,859","Новоегорьевское, Алтайский край",Новоегорьевское,Алтайский край,,658280,1.00
"13,278","Новосиликатный, Алтайский край",Новосиликатный,Алтайский край,,656922,1.00
780,"Павловск, Алтайский край",Павловск,Алтайский край,,659000,1.00
779,"Панкрушиха, Алтайский край",Панкрушиха,Алтайский край,,658760,1.00
810,"Петропавловское, Алтайский край",Петропавловское,Алтайский край,,659660,1.00
797,"Поспелиха, Алтайский край",Поспелиха,Алтайский край,,659700,1.00
781,"Ребриха, Алтайский край",Ребриха,Алтайский край,,658540,1.00
802,"Родино, Алтайский край",Родино,Алтайский край,,659780,1.00
800,"Романово, Алтайский край",Романово,Алтайский край,,658640,1.00
798,"Рубцовск, Алтайский край",Рубцовск,Алтайский край,,658200,3000.00
"13,090","Сибирский, Алтайский край",Сибирский,Алтайский край,,658076,1.00
806,"Славгород, Алтайский край",Славгород,Алтайский край,,658825,1.00
"1,860","Советское, Алтайский край",Советское,Алтайский край,,659540,1.00
"2,336","Солонешное, Алтайский край",Солонешное,Алтайский край,,659690,1.00
"2,332","Солтон, Алтайский край",Солтон,Алтайский край,,659520,1.00
799,"Староалейское, Алтайский край",Староалейское,Алтайский край,,658450,1.00
954,"Степное Озеро, Алтайский край",Степное Озеро,Алтайский край,,658655,1.00
"1,863","Табуны, Алтайский край",Табуны,Алтайский край,,658860,1.00
817,"Тальменка, Алтайский край",Тальменка,Алтайский край,,658030,1.00
820,"Тогул, Алтайский край",Тогул,Алтайский край,,659450,1.00
794,"Топчиха, Алтайский край",Топчиха,Алтайский край,,659070,1.00
790,"Троицкое, Алтайский край",Троицкое,Алтайский край,,659840,1.00
785,"Тюменцево, Алтайский край",Тюменцево,Алтайский край,,658580,1.00
"2,337","Угловское, Алтайский край",Угловское,Алтайский край,,658270,1.00
"2,330","Усть-Калманка, Алтайский край",Усть-Калманка,Алтайский край,,658150,1.00
"2,331","Усть-Чарышская Пристань, Алтайский край",Усть-Чарышская Пристань,Алтайский край,,659580,1.00
807,"Хабары, Алтайский край",Хабары,Алтайский край,,658780,1.00
"2,333","Целинное, Алтайский край",Целинное,Алтайский край,,659430,1.00
811,"Чарышское, Алтайский край",Чарышское,Алтайский край,,658170,1.00
"1,862","Шелаболиха, Алтайский край",Шелаболиха,Алтайский край,,659050,1.00
793,"Шипуново, Алтайский край",Шипуново,Алтайский край,,658390,1.00
"13,277","Южный, Алтайский край",Южный,Алтайский край,,656906,1.00
778,"Яровое, Алтайский край",Яровое,Алтайский край,,658837,1.00
896,"Белогорск, Амурская обл.",Белогорск,Амурская обл.,,676850,10000.00
286,Благовещенск,Благовещенск,Амурская обл.,*,675000,без ограничений
918,"Богородское, Амурская обл.",Богородское,Амурская обл.,,676932,1.00
"13,370","Дактуй, Магдагачинский р-он, Амурская обл.","Дактуй, Магдагачинский р-он",Амурская обл.,,676140,1.00
"3,224","Завитинск, Амурская обл.",Завитинск,Амурская обл.,,676870,1.00
"2,329","Зея, Амурская обл.",Зея,Амурская обл.,,676246,10000.00
"13,328","Ивановка, Амурская обл.",Ивановка,Амурская обл.,,676930,1.00
"13,012","Магдагачи, Амурская обл.",Магдагачи,Амурская обл.,,676124,1.00
"13,065","Невер, Амурская обл.",Невер,Амурская обл.,,676055,1.00
"13,447","Новобурейский, Амурская обл.",Новобурейский,Амурская обл.,,,1.00
"13,013","Райчихинск, Амурская обл.",Райчихинск,Амурская обл.,,676770,1.00
"3,229","Свободный, Амурская обл.",Свободный,Амурская обл.,,676450,30000.00
"13,396","Серышево, Амурская обл.",Серышево,Амурская обл.,,676350,10000.00
"13,064","Сковородино, Амурская обл.",Сковородино,Амурская обл.,,676010,1.00
"1,763","Талакан, Амурская обл.",Талакан,Амурская обл.,,680520,1.00
"13,294","Тыгда, Амурская обл.",Тыгда,Амурская обл.,,676150,1.00
318,"Тында, Амурская обл.",Тында,Амурская обл.,,676290,10000.00
"13,395","Углегорск, Амурская обл.",Углегорск,Амурская обл.,,676470,10000.00
"1,760","Шимановск, Амурская обл.",Шимановск,Амурская обл.,,676300,без ограничений
402,"Архангельск, Архангельская обл.",Архангельск,Архангельская обл.,*,163000,1.00
"13,292","Архангельск-55, Архангельская обл.",Архангельск-55,Архангельская обл.,,163055,1.00
"1,952","Березник, Архангельская обл.",Березник,Архангельская обл.,,164570,1.00
"1,955","Васьково, Архангельская обл.",Васьково,Архангельская обл.,,163512,1.00
994,"Вельск, Архангельская обл.",Вельск,Архангельская обл.,,165150,1.00
"1,953","Верхняя Тойма, Архангельская обл.",Верхняя Тойма,Архангельская обл.,,165500,1.00
"2,342","Ильинско-Подомское, Архангельская обл.",Ильинско-Подомское,Архангельская обл.,,165680,1.00
"1,954","Каргополь, Архангельская обл.",Каргополь,Архангельская обл.,,164110,1.00
"1,948","Коноша, Архангельская обл.",Коноша,Архангельская обл.,,164010,1.00
"1,170","Коряжма, Архангельская обл.",Коряжма,Архангельская обл.,,165650,1.00
"1,756","Котлас, Архангельская обл.",Котлас,Архангельская обл.,,165300,1.00
"2,340","Красноборск, Архангельская обл.",Красноборск,Архангельская обл.,,165430,1.00
"13,014","Мезень, Архангельская обл.",Мезень,Архангельская обл.,,164750,1.00
"1,951","Мирный, Архангельская обл.",Мирный,Архангельская обл.,,164170,1.00
"13,095","Мухонская, Архангельская обл.",Мухонская,Архангельская обл.,,,1.00
997,"Новодвинск, Архангельская обл.",Новодвинск,Архангельская обл.,,164900,1.00
"1,949","Няндома, Архангельская обл.",Няндома,Архангельская обл.,,164200,1.00
"1,957","Обозерский, Архангельская обл.",Обозерский,Архангельская обл.,,164254,1.00
"2,341","Октябрьский, Архангельская обл.",Октябрьский,Архангельская обл.,,165210,1.00
"1,950","Онега, Архангельская обл.",Онега,Архангельская обл.,,164840,1.00
406,"Плесецк, Архангельская обл.",Плесецк,Архангельская обл.,,164260,1.00
"2,339","Савинский, Архангельская обл.",Савинский,Архангельская обл.,,164288,1.00
996,"Северодвинск, Архангельская обл.",Северодвинск,Архангельская обл.,,164500,1.00
"13,411","Североонежск, Архангельская обл.",Североонежск,Архангельская обл.,,164268,1.00
"13,017","Соловецкий, Архангельская обл.",Соловецкий,Архангельская обл.,,164070,1.00
"2,338","Холмогоры, Архангельская обл.",Холмогоры,Архангельская обл.,,164530,1.00
"1,956","Цигломень, Архангельская обл.",Цигломень,Архангельская обл.,,163044,1.00
432,"Астрахань, Астраханская обл.",Астрахань,Астраханская обл.,*,"414000,414004,414006,414022,414024,414038,414040,414041,414042,414045,414052,414056,414057",без ограничений
145,"Ахтубинск, Астраханская обл.",Ахтубинск,Астраханская обл.,,416500,1.00
"2,402","Верхний Баскунчак, Астраханская обл.",Верхний Баскунчак,Астраханская обл.,,416530,1.00
"2,403","Володарский, Астраханская обл.",Володарский,Астраханская обл.,,416170,1.00
"2,404","Енотаевка, Астраханская обл.",Енотаевка,Астраханская обл.,,416200,1.00
"2,405","Замьяны, Астраханская обл.",Замьяны,Астраханская обл.,,416206,1.00
"2,406","Знаменск, Астраханская обл.",Знаменск,Астраханская обл.,,416541,1.00
"2,407","Икряное, Астраханская обл.",Икряное,Астраханская обл.,,416370,1.00
"2,408","Камызяк, Астраханская обл.",Камызяк,Астраханская обл.,,416340,1.00
"2,409","Красные Баррикады, Астраханская обл.",Красные Баррикады,Астраханская обл.,,416356,1.00
"13,112","Красный Яр, Астраханская обл.",Красный Яр,Астраханская обл.,,416150,1.00
"2,410","Лиман, Астраханская обл.",Лиман,Астраханская обл.,,416410,1.00
"2,411","Нариманов, Астраханская обл.",Нариманов,Астраханская обл.,,416111,1.00
"2,412","Началово, Астраханская обл.",Началово,Астраханская обл.,,416450,1.00
"2,413","Нижний Баскунчак, Астраханская обл.",Нижний Баскунчак,Астраханская обл.,,416532,1.00
"13,287","Осыпной Бугор, Астраханская обл.",Осыпной Бугор,Астраханская обл.,,416471,1.00
"2,414","Средний Баскунчак, Астраханская обл.",Средний Баскунчак,Астраханская обл.,,416531,1.00
"13,121","Харабали, Астраханская обл.",Харабали,Астраханская обл.,,416010,1.00
"2,415","Черный Яр, Астраханская обл.",Черный Яр,Астраханская обл.,,416230,1.00
"13,097","Авдон, Уфимский р-он, Башкортостан респ.","Авдон, Уфимский р-он",Башкортостан респ.,,450580,1.00
634,"Агидель, Башкортостан респ.",Агидель,Башкортостан респ.,,452925,1.00
"1,767","Азово, Башкортостан респ.",Азово,Башкортостан респ.,,453039,1.00
"2,416","Аксаково село, Башкортостан респ.",Аксаково село,Башкортостан респ.,,452020,1.00
"2,417","Аксеново, Башкортостан респ.",Аксеново,Башкортостан респ.,,452130,1.00
90,"Актау, Башкортостан респ.",Актау,Башкортостан респ.,,453676,1.00
651,"Акъяр, Башкортостан респ.",Акъяр,Башкортостан респ.,,453800,1.00
"13,136","Алексеевка, Башкортостан респ.",Алексеевка,Башкортостан респ.,,452057,1.00
663,"Архангельское, Башкортостан респ.",Архангельское,Башкортостан респ.,,453030,1.00
648,"Аскарово, Башкортостан респ.",Аскарово,Башкортостан респ.,,453620,1.00
661,"Аскино, Башкортостан респ.",Аскино,Башкортостан респ.,,452880,1.00
"13,203","Аэропорт, Башкортостан респ.",Аэропорт,Башкортостан респ.,,,1.00
646,"Баймак, Башкортостан респ.",Баймак,Башкортостан респ.,,453630,1.00
637,"Бакалы, Башкортостан респ.",Бакалы,Башкортостан респ.,,452650,1.00
631,"Белебей, Башкортостан респ.",Белебей,Башкортостан респ.,,452000,1.00
249,"Белорецк, Башкортостан респ.",Белорецк,Башкортостан респ.,,453500,1.00
638,"Бижбуляк, Башкортостан респ.",Бижбуляк,Башкортостан респ.,,452040,1.00
548,"Бирск, Башкортостан респ.",Бирск,Башкортостан респ.,,452450,1.00
656,"Благовещенск, Башкортостан респ.",Благовещенск,Башкортостан респ.,,453430,1.00
660,"Большеустьикинское, Башкортостан респ.",Большеустьикинское,Башкортостан респ.,,452550,1.00
662,"Буздяк, Башкортостан респ.",Буздяк,Башкортостан респ.,,452710,1.00
649,"Бураево, Башкортостан респ.",Бураево,Башкортостан респ.,,452960,1.00
654,"Верхнеяркеево, Башкортостан респ.",Верхнеяркеево,Башкортостан респ.,,452260,1.00
643,"Верхние Киги, Башкортостан респ.",Верхние Киги,Башкортостан респ.,,452500,1.00
667,"Верхние Татышлы, Башкортостан респ.",Верхние Татышлы,Башкортостан респ.,,452830,1.00
658,"Давлеканово, Башкортостан респ.",Давлеканово,Башкортостан респ.,,453400,1.00
"13,202","Дема, Башкортостан респ.",Дема,Башкортостан респ.,,,1.00
405,"Дюртюли, Башкортостан респ.",Дюртюли,Башкортостан респ.,,452320,1.00
636,"Ермекеево, Башкортостан респ.",Ермекеево,Башкортостан респ.,,452190,1.00
650,"Ермолаево, Башкортостан респ.",Ермолаево,Башкортостан респ.,,453360,1.00
"2,418","Жуково, Башкортостан респ.",Жуково,Башкортостан респ.,,450570,1.00
647,"Зилаир, Башкортостан респ.",Зилаир,Башкортостан респ.,,453680,1.00
"13,004","Зубово, Башкортостан респ.",Зубово,Башкортостан респ.,,450520,1.00
673,"Иглино, Башкортостан респ.",Иглино,Башкортостан респ.,,452410,1.00
630,"Исянгулово, Башкортостан респ.",Исянгулово,Башкортостан респ.,,453380,1.00
672,"Ишимбай, Башкортостан респ.",Ишимбай,Башкортостан респ.,,453200,1.00
668,"Калтасы, Башкортостан респ.",Калтасы,Башкортостан респ.,,452860,1.00
639,"Караидель, Башкортостан респ.",Караидель,Башкортостан респ.,,452360,1.00
655,"Кармаскалы, Башкортостан респ.",Кармаскалы,Башкортостан респ.,,453020,1.00
632,"Киргиз-Мияки, Башкортостан респ.",Киргиз-Мияки,Башкортостан респ.,,452080,1.00
665,"Красная Горка, Башкортостан респ.",Красная Горка,Башкортостан респ.,,452440,1.00
635,"Красноусольский, Башкортостан респ.",Красноусольский,Башкортостан респ.,,453050,1.00
"12,998","Красный Ключ, Нуримановский р-н, Башкортостан респ","Красный Ключ, Нуримановский р-н",Башкортостан респ.,,452431,1.00
653,"Кумертау, Башкортостан респ.",Кумертау,Башкортостан респ.,,453300,1.00
"1,265","Курасково, Башкортостан респ.",Курасково,Башкортостан респ.,,450511,без ограничений
669,"Кушнаренково, Башкортостан респ.",Кушнаренково,Башкортостан респ.,,452230,1.00
303,"Майск, Башкортостан респ.",Майск,Башкортостан респ.,,452838,1.00
"13,205","Максимовка, Башкортостан респ.",Максимовка,Башкортостан респ.,,450148.453148,1.00
666,"Малояз, Башкортостан респ.",Малояз,Башкортостан респ.,,452490,1.00
"2,419","Межгорье, Башкортостан респ.",Межгорье,Башкортостан респ.,,453571,1.00
946,"Мелеуз, Башкортостан респ.",Мелеуз,Башкортостан респ.,,453850,1.00
"1,139","Месягутово, Башкортостан респ.",Месягутово,Башкортостан респ.,,452530,1.00
"2,420","Михайловка, Башкортостан респ.",Михайловка,Башкортостан респ.,,"452535,452657,453038,453288,453622",1.00
644,"Мишкино, Башкортостан респ.",Мишкино,Башкортостан респ.,,452340,1.00
"1,351","Мокроусово, Башкортостан респ.",Мокроусово,Башкортостан респ.,,,1.00
633,"Мраково, Башкортостан респ.",Мраково,Башкортостан респ.,,453330,1.00
629,"Нефтекамск, Башкортостан респ.",Нефтекамск,Башкортостан респ.,,452680,без ограничений
"2,421","Никифарово, Башкортостан респ.",Никифарово,Башкортостан респ.,,452131,1.00
652,"Николо-Березовка, Башкортостан респ.",Николо-Березовка,Башкортостан респ.,,452930,1.00
645,"Новобелокатай, Башкортостан респ.",Новобелокатай,Башкортостан респ.,,452580,1.00
"13,382","Новомуслюмово, Минтлинский р-н, Башкортостан респ.","Новомуслюмово, Минтлинский р-н",Башкортостан респ.,,452560,1.00
"2,422","Нурлино, Башкортостан респ.",Нурлино,Башкортостан респ.,,450513,1.00
657,"Октябрьский, Башкортостан респ.",Октябрьский,Башкортостан респ.,,452600,1.00
"2,423","Прибельский, Башкортостан респ.",Прибельский,Башкортостан респ.,,453012,1.00
"13,001","Приютово, Башкортостан респ.",Приютово,Башкортостан респ.,,452017,1.00
"1,138","Раевский, Башкортостан респ.",Раевский,Башкортостан респ.,,452120,1.00
111,"Салават, Башкортостан респ.",Салават,Башкортостан респ.,,453250,1.00
664,"Сибай, Башкортостан респ.",Сибай,Башкортостан респ.,,453830,1.00
"1,405","Старобалтачево, Башкортостан респ.",Старобалтачево,Башкортостан респ.,,452980,1.00
"1,406","Старосубхангулово, Башкортостан респ.",Старосубхангулово,Башкортостан респ.,,453580,1.00
671,"Стерлибашево, Башкортостан респ.",Стерлибашево,Башкортостан респ.,,453180,1.00
257,"Стерлитамак, Башкортостан респ.",Стерлитамак,Башкортостан респ.,,453100,1.00
"13,317","Тимашево, Башкортостан респ.",Тимашево,Башкортостан респ.,,,1.00
640,"Толбазы, Башкортостан респ.",Толбазы,Башкортостан респ.,,453480,1.00
628,"Туймазы, Башкортостан респ.",Туймазы,Башкортостан респ.,,452750,1.00
256,Уфа,Уфа,Башкортостан респ.,*,"450000,450001,450002,450003,450004,450005,450006,450007,450008,450009,450010,450013,450014,450015,450017,450018,450019,450022,450024,450026,450027,450028,450029,450030,450032,450033,450034,450035,450037,450038,450039,450040,450043,450044,450045,450047,450",без ограничений
670,"Учалы, Башкортостан респ.",Учалы,Башкортостан респ.,,453700,1.00
641,"Федоровка, Башкортостан респ.",Федоровка,Башкортостан респ.,,453280,1.00
674,"Чекмагуш, Башкортостан респ.",Чекмагуш,Башкортостан респ.,,452200,1.00
"13,204","Чесноковка, Башкортостан респ.",Чесноковка,Башкортостан респ.,,450591,1.00
675,"Чишмы, Башкортостан респ.",Чишмы,Башкортостан респ.,,452170,1.00
"13,247","Шакша, Башкортостан респ.",Шакша,Башкортостан респ.,,,1.00
659,"Шаран, Башкортостан респ.",Шаран,Башкортостан респ.,,452630,1.00
"2,424","Юмагузино, Башкортостан респ.",Юмагузино,Башкортостан респ.,,453336,1.00
"2,425","Юматово, Башкортостан респ.",Юматово,Башкортостан респ.,,450571,1.00
642,"Языково, Башкортостан респ.",Языково,Башкортостан респ.,,452740,1.00
"2,345","Янаул, Башкортостан респ.",Янаул,Башкортостан респ.,,452800,1.00
342,"Алексеевка, Белгородская обл.",Алексеевка,Белгородская обл.,,309850,1.00
337,"Белгород, Белгородская обл.",Белгород,Белгородская обл.,*,308000,100000.00
"2,065","Бирюч, Белгородская обл.",Бирюч,Белгородская обл.,,309921,1.00
"2,471","Борисовка, Белгородская обл.",Борисовка,Белгородская обл.,,309340,1.00
344,"Валуйки, Белгородская обл.",Валуйки,Белгородская обл.,,309990,1.00
"2,477","Вейделевка, Белгородская обл.",Вейделевка,Белгородская обл.,,309720,1.00
338,"Веселая Лопань, Белгородская обл.",Веселая Лопань,Белгородская обл.,,308580,1.00
"2,475","Волоконовка, Белгородская обл.",Волоконовка,Белгородская обл.,,309650,1.00
"2,064","Грайворон, Белгородская обл.",Грайворон,Белгородская обл.,,309370,1.00
"1,230","Губкин, Белгородская обл.",Губкин,Белгородская обл.,,309180,1.00
"2,071","Дубовое, Белгородская обл.",Дубовое,Белгородская обл.,,308501,1.00
"2,472","Короча, Белгородская обл.",Короча,Белгородская обл.,,309210,1.00
"2,066","Красная Яруга, Белгородская обл.",Красная Яруга,Белгородская обл.,,309420,1.00
131,"Майский, Белгородская обл.",Майский,Белгородская обл.,,308503,1.00
39,"Незнамово, Белгородская обл.",Незнамово,Белгородская обл.,,309540,1.00
341,"Новый Оскол, Белгородская обл.",Новый Оскол,Белгородская обл.,,309640,1.00
"2,067","Октябрьский, Белгородская обл.",Октябрьский,Белгородская обл.,,308590,1.00
"2,072","Пролетарский, Белгородская обл.",Пролетарский,Белгородская обл.,,309300,1.00
"2,473","Прохоровка, Белгородская обл.",Прохоровка,Белгородская обл.,,309000,1.00
"2,068","Пятницкое, Белгородская обл.",Пятницкое,Белгородская обл.,,309665,1.00
"2,069","Разумное, Белгородская обл.",Разумное,Белгородская обл.,,308510,1.00
"2,476","Ракитное, Белгородская обл.",Ракитное,Белгородская обл.,,309310,1.00
"2,478","Ровеньки, Белгородская обл.",Ровеньки,Белгородская обл.,,309740,1.00
"2,073","Северный, Белгородская обл.",Северный,Белгородская обл.,,308519,1.00
372,"Сосновка, Белгородская обл.",Сосновка,Белгородская обл.,,308006,1.00
132,"Старый Оскол, Белгородская обл.",Старый Оскол,Белгородская обл.,,309500,без ограничений
"2,474","Строитель, Белгородская обл.",Строитель,Белгородская обл.,,309070,1.00
957,"Шебекино, Белгородская обл.",Шебекино,Белгородская обл.,,309290,1.00
"2,309","Белые Берега, Брянская обл.",Белые Берега,Брянская обл.,,241902,1.00
"2,328","Большое Полпино, Брянская обл.",Большое Полпино,Брянская обл.,,241903,1.00
"2,310","Брасово, Брянская обл.",Брасово,Брянская обл.,,242310,1.00
220,Брянск,Брянск,Брянская обл.,*,241000,без ограничений
"2,311","Выгоничи, Брянская обл.",Выгоничи,Брянская обл.,,243360,1.00
"3,223","Глинищево, Брянская обл.",Глинищево,Брянская обл.,,241525,1.00
"2,327","Добрунь, Брянская обл.",Добрунь,Брянская обл.,,241521,1.00
"2,312","Дубровка п.г.т., Брянская обл.",Дубровка п.г.т.,Брянская обл.,,242750,1.00
"2,301","Дятьково, Брянская обл.",Дятьково,Брянская обл.,,242600,1.00
97,"Желтая Акация, Брянская обл.",Желтая Акация,Брянская обл.,,243253,1.00
"2,324","Жирятино, Брянская обл.",Жирятино,Брянская обл.,,242030,1.00
"2,313","Жуковка, Брянская обл.",Жуковка,Брянская обл.,,242700,1.00
"2,302","Злынка, Брянская обл.",Злынка,Брянская обл.,,243600,1.00
"2,303","Карачев, Брянская обл.",Карачев,Брянская обл.,,242500,1.00
"2,317","Клетня, Брянская обл.",Клетня,Брянская обл.,,242820,1.00
"2,315","Климово, Брянская обл.",Климово,Брянская обл.,,243040,1.00
416,"Клинцы, Брянская обл.",Клинцы,Брянская обл.,,243140,без ограничений
166,"Ковалерово, Брянская обл.",Ковалерово,Брянская обл.,,243256,1.00
"2,314","Комаричи, Брянская обл.",Комаричи,Брянская обл.,,242400,1.00
"2,316","Красная Гора, Брянская обл.",Красная Гора,Брянская обл.,,243160,1.00
"13,431","Кузьмино , Брянская обл.",Кузьмино,Брянская обл.,,241519,1.00
"3,222","Локоть, Брянская обл.",Локоть,Брянская обл.,,242300,1.00
"2,318","Мглин, Брянская обл.",Мглин,Брянская обл.,,243220,1.00
"13,364","Меркульево, Брянская обл.",Меркульево,Брянская обл.,,241530,1.00
"2,319","Навля, Брянская обл.",Навля,Брянская обл.,,242130,1.00
418,"Новозыбков, Брянская обл.",Новозыбков,Брянская обл.,,243020,1.00
"13,068","Октябрьский, Брянский район, Брянская обл.","Октябрьский, Брянский район",Брянская обл.,,241522,1.00
"2,304","Погар, Брянская обл.",Погар,Брянская обл.,,243550,1.00
"1,882","Почеп, Брянская обл.",Почеп,Брянская обл.,,243400,1.00
"2,320","Рогнедино, Брянская обл.",Рогнедино,Брянская обл.,,242770,1.00
"2,321","Севск, Брянская обл.",Севск,Брянская обл.,,242440,1.00
"2,305","Сельцо, Брянская обл.",Сельцо,Брянская обл.,,241550,1.00
"2,306","Стародуб, Брянская обл.",Стародуб,Брянская обл.,,243240,1.00
"2,322","Суземка, Брянская обл.",Суземка,Брянская обл.,,242190,1.00
"2,326","Супонево, Брянская обл.",Супонево,Брянская обл.,,241520,1.00
"2,307","Сураж, Брянская обл.",Сураж,Брянская обл.,,243500,1.00
"2,323","Трубчевск, Брянская обл.",Трубчевск,Брянская обл.,,242220,1.00
"2,308","Унеча, Брянская обл.",Унеча,Брянская обл.,,243300,1.00
"2,325","Фокино, Брянская обл.",Фокино,Брянская обл.,,242610,1.00
"2,426","Бабушкин, Бурятия респ.",Бабушкин,Бурятия респ.,,671230,1.00
"2,427","Багдарин, Бурятия респ.",Багдарин,Бурятия респ.,,671510,1.00
"2,428","Баргузин, Бурятия респ.",Баргузин,Бурятия респ.,,671610,1.00
"2,429","Горячинск, Бурятия респ.",Горячинск,Бурятия респ.,,671275,1.00
"2,430","Гурульба, Бурятия респ.",Гурульба,Бурятия респ.,,670515,1.00
544,"Гусиноозерск, Бурятия респ.",Гусиноозерск,Бурятия респ.,,671160,1.00
"2,431","Дивизионная, Бурятия респ.",Дивизионная,Бурятия респ.,,670003,1.00
"2,432","Забайкальский, Бурятия респ.",Забайкальский,Бурятия респ.,,670525,1.00
"2,433","Заиграево, Бурятия респ.",Заиграево,Бурятия респ.,,671310,1.00
"2,434","Закаменск, Бурятия респ.",Закаменск,Бурятия респ.,,671950,1.00
"2,435","Звездный, Бурятия респ.",Звездный,Бурятия респ.,,670035,1.00
"1,408","Иволгинск, Бурятия респ.",Иволгинск,Бурятия респ.,,670510,1.00
"2,436","Исток Кабанский р-он, Бурятия респ.",Исток Кабанский р-он,Бурятия респ.,,671200,1.00
"2,437","Кабанск, Бурятия респ.",Кабанск,Бурятия респ.,,,1.00
"2,438","Каменск, Бурятия респ.",Каменск,Бурятия респ.,,671205,1.00
"2,439","Курумкан, Бурятия респ.",Курумкан,Бурятия респ.,,671640,1.00
"2,440","Кяхта, Бурятия респ.",Кяхта,Бурятия респ.,,671840,1.00
"2,441","Медведчиково, Бурятия респ.",Медведчиково,Бурятия респ.,,670031,1.00
"2,442","Наушки, Бурятия респ.",Наушки,Бурятия респ.,,671820,1.00
24,"Нижнеангарск, Бурятия респ.",Нижнеангарск,Бурятия респ.,,671710,1.00
"2,443","Нижние Тальцы, Бурятия респ.",Нижние Тальцы,Бурятия респ.,,671321,1.00
